country,points,price,province,region_1,region_2,title,variety,winery,year
US,90,125,California,Rutherford,Napa,St. Supéry 2013 Rutherford Estate Vineyard Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,St. Supéry,2013
US,90,17,Washington,Columbia Valley (WA),Columbia Valley,Barnard Griffin 2014 Signature Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Barnard Griffin,2014
US,90,85,Oregon,Chehalem Mountains,Willamette Valley,Beacon Hill 2013 Chehalem Mountain Vineyard Pinot Noir (Chehalem Mountains),Pinot Noir,Beacon Hill,2013
US,90,34,Washington,Yakima Valley,Columbia Valley,Brian Carter Cellars 2012 Tuttorosso Red (Yakima Valley),Red Blend,Brian Carter Cellars,2012
US,90,20,California,Santa Ynez Valley,Central Coast,Chessman 2014 Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Chessman,2014
US,90,50,California,Sonoma Valley,Sonoma,Deerfield Ranch NV Tawny Estate Syrah (Sonoma Valley),Syrah,Deerfield Ranch,
US,90,125,California,Rutherford,Napa,Aiken 2013 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Aiken,2013
US,90,42,California,Mendocino Ridge,,Donkey & Goat 2013 Perli Vineyards Syrah (Mendocino Ridge),Syrah,Donkey & Goat,2013
US,86,36,Washington,Walla Walla Valley (WA),Columbia Valley,Kontos 2011 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Kontos,2011
US,90,28,California,Santa Barbara County,Central Coast,Fess Parker 2013 Syrah (Santa Barbara County),Syrah,Fess Parker,2013
US,90,150,California,Spring Mountain District,Napa,Foretell 2012 Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Foretell,2012
US,90,45,California,Sta. Rita Hills,Central Coast,West of Temperance 2012 Rio Vista Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,West of Temperance,2012
US,90,40,Oregon,Chehalem Mountains,Willamette Valley,Carabella 2013 Estate Pinot Noir (Chehalem Mountains),Pinot Noir,Carabella,2013
US,90,29,California,Mendocino Ridge,,Greenwood Ridge 2013 Estate Bottled Syrah (Mendocino Ridge),Syrah,Greenwood Ridge,2013
US,90,20,California,Los Carneros,Napa-Sonoma,Cline 2008 Sonoma Estate Syrah (Los Carneros),Syrah,Cline,2008
US,90,22,California,Napa Valley,Napa,Fuse 2009 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Fuse,2009
US,90,44,California,Sta. Rita Hills,Central Coast,Pacific Ridge 2009 Red Label Pinot Noir (Sta. Rita Hills),Pinot Noir,Pacific Ridge,2009
US,90,29,California,Santa Maria Valley,Central Coast,2nd Chance 2009 Pinot Noir (Santa Maria Valley),Pinot Noir,2nd Chance,2
US,90,58,Washington,Columbia Valley (WA),Columbia Valley,Bergevin Lane 2008 Stone Tree Vineyard Intuition Reserve Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Bergevin Lane,2008
US,90,70,California,Temecula Valley,South Coast,Leonesse Cellars 2007 Signature Selection Syrah (Temecula Valley),Syrah,Leonesse Cellars,2007
US,90,39,Washington,Columbia Valley (WA),Columbia Valley,Market Vineyards 2008 Dividend Syrah (Columbia Valley (WA)),Syrah,Market Vineyards,2008
US,87,25,Oregon,Willamette Valley,Willamette Valley,Coelho 2014 Atração Pinot Noir (Willamette Valley),Pinot Noir,Coelho,2014
US,87,55,California,Livermore Valley,Central Coast,Cuda Ridge Wines 2013 Melange d'Amis Reserve Red (Livermore Valley),Bordeaux-style Red Blend,Cuda Ridge Wines,2013
